Network_SID,DateTime_Key,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
-229041188,2021/01/21 05:15:00,SOEM1,14238,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-JI1801.1,AMM 20PB,-42.3,I01f,I40b,1/8+,1
-229041188,2021/01/21 05:15:00,SOEM1,14238,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-JI1801.1,AMM 20PB,-41.3,I01j,I02e,1/5+,1
-229041188,2021/01/21 05:15:00,SOEM1,14238,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-JI1801.1,AMM 20PB,-71.8,I01h,I02d,1/4+,1
-229041188,2021/01/21 05:15:00,SOEM1,14238,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-JI1801.1,AMM 20PB,-31.0,I01B,IT1B,1/15+,1
-229041188,2021/01/21 05:15:00,SOEM1,14238,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-JI1801.1,AMM 20PB,-32.2,I01A,IT1A,1/14+,1
1386253700,2021/01/21 05:15:00,SOEM1,14277,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3548.1,AMM 6PC,-35.4,U48b,U17b,1/2+,1
1386253700,2021/01/21 05:15:00,SOEM1,14277,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3548.1,AMM 6PC,-39.1,U48a,U18d,1/3+,1
-973249540,2021/01/21 05:15:00,SOEM1,14279,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3556.1,AMM 2PB,-40.1,U56a,U17c,1/2+,1
435557654,2021/01/21 05:15:00,SOEM1,14276,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM6411.1,AMM 2PB,-45.4,u11a,U24d,1/2+,1
-1228404982,2021/01/21 05:15:00,SOEM1,14278,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3517.1,AMM 2PB,-40.1,U17c,U56a,1/3+,1
-1228404982,2021/01/21 05:15:00,SOEM1,14278,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3517.1,AMM 2PB,-36.3,U17b,U48b,1/2+,1
-1230385100,2021/01/21 05:15:00,SOEM1,14286,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-SE1952.1,AMM 6PC,-45.1,S52c,ST0b,1/3+,1
-1230385100,2021/01/21 05:15:00,SOEM1,14286,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-SE1952.1,AMM 6PC,-99.9,S52b,S31c,1/4+,1
-1230385100,2021/01/21 05:15:00,SOEM1,14286,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-SE1952.1,AMM 6PC,-49.5,S52d,805b,1/2+,1
1209073067,2021/01/21 05:15:00,SOEM1,14284,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-SET10-TN1.1,AMM 20PB,-37.9,ST0c,S60b,1/14+,1
1209073067,2021/01/21 05:15:00,SOEM1,14284,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-SET10-TN1.1,AMM 20PB,-43.8,ST0b,S52c,1/6+,1
1209073067,2021/01/21 05:15:00,SOEM1,14284,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-SET10-TN1.1,AMM 20PB,-50.1,ST0d,806b,1/4+,1
-2046451422,2021/01/21 05:15:00,SOEM1,14260,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5394.1,AMM 6PC,-40.1,594d,f36a,1/4+,1
-2046451422,2021/01/21 05:15:00,SOEM1,14260,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5394.1,AMM 6PC,-46.0,594c,h51a,1/5+,1
-2046451422,2021/01/21 05:15:00,SOEM1,14260,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5394.1,AMM 6PC,-41.0,594a,243b,1/2+,1
-1848558214,2021/01/21 05:15:00,SOEM1,14262,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3501.1,AMM 6PC,-44.5,U01h,U97e,1/3+,1
-1848558214,2021/01/21 05:15:00,SOEM1,14262,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3501.1,AMM 6PC,-46.4,U01d,u66a,1/6+,1
-1848558214,2021/01/21 05:15:00,SOEM1,14262,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3501.1,AMM 6PC,-44.8,U01e,u18a,1/5+,1
-1848558214,2021/01/21 05:15:00,SOEM1,14262,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3501.1,AMM 6PC,-43.2,U01a,u53a,1/2+,1
-1628315833,2021/01/21 05:15:00,SOEM1,14275,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3524.1,AMM 6PC,-45.7,U24w,u36a,1/6+,1
-1628315833,2021/01/21 05:15:00,SOEM1,14275,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3524.1,AMM 6PC,-40.4,U24f,U23d,1/3+,1
-1628315833,2021/01/21 05:15:00,SOEM1,14275,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3524.1,AMM 6PC,-50.4,U24c,U67a,1/4+,1
-1628315833,2021/01/21 05:15:00,SOEM1,14275,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3524.1,AMM 6PC,-44.8,U24d,u11a,1/5+,1
-1628315833,2021/01/21 05:15:00,SOEM1,14275,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3524.1,AMM 6PC,-40.7,U24e,U23c,1/2+,1
-1462450249,2021/01/21 05:15:00,SOEM1,14268,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT01-OBB01-TN1.1,AMM 20PB,-37.3,WB1a,WT9d,1/7+,1
-1462450249,2021/01/21 05:15:00,SOEM1,14268,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT01-OBB01-TN1.1,AMM 20PB,-39.8,WB1d,WT2e,1/4+,1
-1462450249,2021/01/21 05:15:00,SOEM1,14268,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT01-OBB01-TN1.1,AMM 20PB,-36.6,WB1j,WT9b,1/6+,1
