Network_SID,DateTime_Key,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
-1952011020,1/21/2021 5:15,SOEM1,18140,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2349.1,AMM 6PC,-43.2,N49b,NT6c,,
-92904713,1/21/2021 5:15,SOEM1,18146,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2320.1,AMM 2PB,-45.7,N20d,N19c,,
558413941,1/21/2021 5:15,SOEM1,18160,1/2.1/1,1/21/2021 0:00,24,Near End,TN-ET3625.1,AMM 2PB,-37.6,E25b,E08c,,
-437892219,1/21/2021 5:15,SOEM1,18159,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2336.1,AMM 2PB,-42.3,N36b,ANT3,,
751621809,1/21/2021 5:15,SOEM1,18163,1/2.1/1,1/21/2021 0:00,24,Near End,TN-ET3646.1,AMM 2PB,-47.9,E46b,E48c,,
1761818178,1/21/2021 5:15,SOEM1,18153,1/6.1/1,1/21/2021 0:00,24,Near End,TN-AN2328.1,AMM 6PC,-43.2,N28a,n99a,,
1761818178,1/21/2021 5:15,SOEM1,18153,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AN2328.1,AMM 6PC,-42.3,N28d,N65a,,
1761818178,1/21/2021 5:15,SOEM1,18153,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2328.1,AMM 6PC,-36.6,N28b,N00c,,
-25250712,1/21/2021 5:15,SOEM1,18162,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2306.1,AMM 2PB,0,N06b,N34e,,
1169294398,1/21/2021 5:15,SOEM1,18158,1/5.1/1,1/21/2021 0:00,24,Near End,TN-AN2312.1,AMM 6PC,-42,N12f,N52b,,
1169294398,1/21/2021 5:15,SOEM1,18158,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AN2312.1,AMM 6PC,-64.9,N12e,N12b,,
1169294398,1/21/2021 5:15,SOEM1,18158,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2312.1,AMM 6PC,-35.4,N12b,ET3h,,
-2039960083,1/21/2021 5:15,SOEM1,18149,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AN2362.1,AMM 2PB,-42.6,N62c,N96b,,
-2039960083,1/21/2021 5:15,SOEM1,18149,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2362.1,AMM 2PB,-40.7,N62b,N41e,,
1127103888,1/21/2021 5:15,SOEM1,18147,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AN2384.1,AMM 20PB,-42.3,N84c,NT2i,,
1127103888,1/21/2021 5:15,SOEM1,18147,1/8.1/1,1/21/2021 0:00,24,Near End,TN-AN2384.1,AMM 20PB,-39.1,N84g,N17g,,
1127103888,1/21/2021 5:15,SOEM1,18147,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2384.1,AMM 20PB,-43.5,N84b,NT2h,,
1858714690,1/21/2021 5:15,SOEM1,18001,1/4.1/1,1/21/2021 0:00,24,Near End,TN-MS2824.1,AMM 6PC,-43.2,m24c,mT6b,,
1858714690,1/21/2021 5:15,SOEM1,18001,1/3.1/1,1/21/2021 0:00,24,Near End,TN-MS2824.1,AMM 6PC,-47.3,m24b,mT7c,,
1858714690,1/21/2021 5:15,SOEM1,18001,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MS2824.1,AMM 6PC,-40.4,m24d,m95a,,
1559828608,1/21/2021 5:15,SOEM1,18173,1/2.1/1,1/21/2021 0:00,24,Near End,TN-LAPOS2.1,AMM 2PB,-45.7,eP2b,e14d,,
-876348946,1/21/2021 5:15,SOEM1,18185,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3030.1,AMM 2PB,-51.1,Y30c,Y50c,,
-876348946,1/21/2021 5:15,SOEM1,18185,1/3.1/1,1/21/2021 0:00,24,Near End,TN-OU3030.1,AMM 2PB,-53.6,Y30c,Y50c,,
1519596692,1/21/2021 5:15,SOEM1,18154,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AN2335.1,AMM 2PB,-99.9,N35c,NP5b,,
1519596692,1/21/2021 5:15,SOEM1,18154,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2335.1,AMM 2PB,-34.7,N35b,N34c,,
1216536185,1/21/2021 5:15,SOEM1,18054,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TACA02-INSALAH.1,AMM 6PC,-47.3,XTTc,X10b,,
1216536185,1/21/2021 5:15,SOEM1,18054,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TACA02-INSALAH.1,AMM 6PC,-42,XTTc,X10b,,
1547368096,1/21/2021 5:15,SOEM1,18177,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3002.1,AMM 2PB,-45.1,Y02c,Y89c,,
-1502355479,1/21/2021 5:15,SOEM1,18155,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AN2339.1,AMM 20PB,-54.8,N39b,NT1o,,
1753751734,1/21/2021 5:15,SOEM1,18174,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3050-TN2.1,AMM 2PB,-59.8,Y50c,Y30c,,
-1502355479,1/21/2021 5:15,SOEM1,18155,1/16.1/1,1/21/2021 0:00,24,Near End,TN-AN2339.1,AMM 20PB,-43.5,N39i,N88b,,
-1502355479,1/21/2021 5:15,SOEM1,18155,1/15.1/1,1/21/2021 0:00,24,Near End,TN-AN2339.1,AMM 20PB,-46.7,N39h,N73b,,
-1502355479,1/21/2021 5:15,SOEM1,18155,1/14.1/1,1/21/2021 0:00,24,Near End,TN-AN2339.1,AMM 20PB,-45.1,N39d,N64a,,
-1502355479,1/21/2021 5:15,SOEM1,18155,1/8.1/1,1/21/2021 0:00,24,Near End,TN-AN2339.1,AMM 20PB,-40.4,N39f,N68a,,
-1502355479,1/21/2021 5:15,SOEM1,18155,1/7.1/1,1/21/2021 0:00,24,Near End,TN-AN2339.1,AMM 20PB,-46.4,N39a,N66a,,
-1502355479,1/21/2021 5:15,SOEM1,18155,1/6.1/1,1/21/2021 0:00,24,Near End,TN-AN2339.1,AMM 20PB,-41.6,N39c,N57a,,
-1502355479,1/21/2021 5:15,SOEM1,18155,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AN2339.1,AMM 20PB,-57,N39e,NT1m,,
-57777175,1/21/2021 5:15,SOEM1,18176,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3037.1,AMM 2PB,-52.3,Y37c,Y40c,,
1753751734,1/21/2021 5:15,SOEM1,18174,1/3.1/1,1/21/2021 0:00,24,Near End,TN-OU3050-TN2.1,AMM 2PB,-97.2,Y50c,Y30c,,
-571852247,1/21/2021 5:15,SOEM1,18184,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4208.1,AMM 6PC,-37.9,T08b,T10c,,
-571852247,1/21/2021 5:15,SOEM1,18184,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TP4208.1,AMM 6PC,-46.4,T08b,B76a,,
1110331222,1/21/2021 5:15,SOEM1,18178,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3040.1,AMM 6PC,-43.2,Y40b,Y54f,,
1110331222,1/21/2021 5:15,SOEM1,18178,1/4.1/1,1/21/2021 0:00,24,Near End,TN-OU3040.1,AMM 6PC,-49.5,Y40c,Y37c,,
1110331222,1/21/2021 5:15,SOEM1,18178,1/3.1/1,1/21/2021 0:00,24,Near End,TN-OU3040.1,AMM 6PC,-43.8,Y40a,w13a,,
