NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription
SOEM1,5282,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0926-TN1.1,AMM 6PC,-,-48.2,-48.0,0,B26h,B64a,-
SOEM1,5284,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5508.1,AMM 2PB,-,-43.5,0.0,0,----,----,-
SOEM1,5305,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-SE1968.1,AMM 2PB,-,-38.5,0.0,0,----,----,-
SOEM1,5311,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0804.1,AMM 2PB,-,-40.4,-40.5,0,004a,B19c,-
SOEM1,5280,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0924.1,AMM 6PC,-,-49.2,-49.2,0,B24d,B36a,-
SOEM1,5304,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5542.1,AMM 2PB,-,-41.6,-41.6,0,B42a,B16e,-
SOEM1,5295,F5/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0922.1,AMM 20PB,-,-47.0,0.0,0,----,----,-
SOEM1,5295,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0922.1,AMM 20PB,-,-46.4,-46.4,0,B22d,B43a,-
SOEM1,5295,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0922.1,AMM 20PB,-,-41.3,-41.4,0,B22h,B23g,-
SOEM1,5306,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5555.1,AMM 2PB,-,-42.3,0.0,0,----,----,-
SOEM1,5297,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0961.1,AMM 2PB,-,-40.7,-40.8,0,B61a,B01d,-
SOEM1,5302,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-TO5728.1,AMM 6PC,-,-36.0,-36.0,0,128a,Z46a,-
SOEM1,5330,F5/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5245.1,AMM 6PC,-,-45.4,0.0,0,----,----,-
SOEM1,5313,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6270.1,AMM 2PB,-,-38.2,0.0,0,----,----,-
SOEM1,5323,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3571.1,AMM 6PC,-,-45.1,0.0,0,----,----,-
SOEM1,5327,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5544.1,AMM 2PB,-,-43.2,0.0,0,----,----,-
SOEM1,5309,F5/1.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2877.1,AMM 6PC,-,-41.6,0.0,0,----,----,-
SOEM1,5309,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2877.1,AMM 6PC,-,-43.5,0.0,0,----,----,-
SOEM1,5335,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-MS3225.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5233,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2808.1,AMM 6PC,-,-43.8,-43.8,0,m08b,m09d,-
SOEM1,5329,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5567.1,AMM 6PC,-,-42.3,-42.3,0,b67b,B12a,-
SOEM1,5329,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5567.1,AMM 6PC,-,-35.1,-34.9,0,b67e,BT3j,-
SOEM1,5317,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0932.1,AMM 6PC,-,-46.7,-46.2,0,B32a,034a,-
SOEM1,5322,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0926-TN2.1,AMM 2PB,-,-55.1,0.0,0,----,----,-
SOEM1,5320,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0359.1,AMM 2PB,-,-46.0,0.0,0,e59a,e06a,-
SOEM1,5338,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0985.1,AMM 6PC,-,-35.4,-35.6,0,B85b,005a,-
SOEM1,5334,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0915.1,AMM 6PC,-,-36.9,-36.9,0,B15b,B11c,-
SOEM1,5347,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN1-CH0287.1,AMM 6PC,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5337,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0974.1,AMM 2PB,-,-36.9,-36.7,0,B74b,b04a,-
SOEM1,5333,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0972.1,AMM 2PB,-,-51.1,-51.4,0,B72a,B08d,-
SOEM1,5339,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5057.1,AMM 6PC,-,-43.2,-43.2,0,257c,AT1m,-
SOEM1,5332,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5583.1,AMM 2PB,-,-40.4,-40.5,0,b83a,B01a,-
SOEM1,5353,F4/1.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2816.1,AMM 6PC,-,-47.3,0.0,0,----,----,-
SOEM1,5353,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2816.1,AMM 6PC,-,-46.4,0.0,0,----,----,-
SOEM1,5358,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLPOS01.1,AMM 2PB,-,-49.8,0.0,0,----,----,-
SOEM1,5404,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-BL5512.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5350,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0948.1,AMM 2PB,-,-41.3,-41.0,0,B48a,B31k,-
SOEM1,5355,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5596.1,AMM 2PB,-,-43.5,-43.3,0,b96b,b81a,-
