NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription
SOEM1,19068,F14/1.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-31.9,0.0,0,----,----,-
SOEM1,19068,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-38.8,0.0,0,----,----,-
SOEM1,19068,F4/2.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-36.6,0.0,0,----,----,-
SOEM1,19068,F14/2.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-32.5,0.0,0,----,----,-
SOEM1,19068,1/17.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-42.0,-41.5,0,g19y,Y57y,-
SOEM1,19068,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-35.1,-35.3,0,g19y,Y57y,-
SOEM1,19068,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-37.3,-36.7,0,g19x,Y57x,-
SOEM1,19068,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-37.6,-37.8,0,g19r,g07r,-
SOEM1,19068,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-35.1,-34.8,0,g19x,Y57x,-
SOEM1,19068,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-GH4719.1,AMM 20PB,-,-36.0,-36.1,0,g19s,g07s,-
SOEM1,19106,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4966-TN2.1,AMM 2PB,-,-31.6,0.0,0,----,----,-
SOEM1,19106,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4966-TN2.1,AMM 2PB,-,-31.9,-31.9,0,L66d,254b,-
SOEM1,19092,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-ALWOF13.1,AMM 6PC,-,-48.9,0.0,0,W13a,209e,-
SOEM1,19092,F4/1.1/1,2021-01-21 00:00:00,24,Near End,TN-ALWOF13.1,AMM 6PC,-,-40.4,0.0,0,----,----,-
